arm,session,checkpoint,step,K,val_tv,tf_agree_specs,tf_mean_accepted_prefix,tf_full_block_rate,seed_row_agreement,free_acceptance_rate,free_mean_accepted_specs,free_full_block_rate,tpf,forwards_per_token,proposal_ms,verify_ms,commit_ms,overhead_ms,cycle_ms,unattributed_ms,prefill_ms,tok_s_median,tok_s_std,tok_s_repeat_noise,speedup_vs_ar,predicted_tok_s,predicted_tok_s_v1,cost_model_error_pct,cost_model_v1_error_pct,cost_model_steady_error_pct,ceiling_speedup,ar_agreement,ar_baseline_tok_s,peak_memory_gb,backbone_unchanged,agree_plus_1,agree_plus_2,agree_plus_3,agree_plus_4,agree_plus_5,agree_plus_6,agree_plus_7,agree_plus_8,p_accept_0,p_accept_1,p_accept_2,p_accept_3,p_accept_4,p_accept_5,p_accept_6,p_accept_7,p_accept_8,survive_ge_1,survive_ge_2,survive_ge_3,survive_ge_4,survive_ge_5,survive_ge_6,survive_ge_7,survive_ge_8,draft_q1_accept,draft_q2_accept,draft_q3_accept,draft_q4_accept,draft_q5_accept,draft_pearson_gap,draft_pearson_entropy,best_k4_tok_s,best_k4_step,speedup_vs_best_k4,tpf_vs_best_k4
A,2026-09-04T22:42:32,step-3200,3200,2,0.50758,0.45312,0.45312,0.45312,1.0,0.583,0.583,0.583,1.23924,0.80694,23.6206,21.6797,0.2555,0.7835,46.3393,0.0061,35.5078,53.006,3.758,0.1044,1.0832,53.534,56.701,0.997,6.97,2.143,1.323,0.8528,48.934,11.039,True,1.0,0.45312,,,,,,,0.41696,0.58304,,,,,,,,0.58304,,,,,,,,0.26816,0.17318,0.14525,0.13966,0.12222,-0.16701,-0.08082,56.949,12800,0.9308,0.883
A,2026-09-04T22:42:32,step-4800,4800,2,0.50523,0.42578,0.42578,0.42578,1.0,0.6179,0.6179,0.6179,1.25217,0.79861,23.5739,21.5515,0.2581,0.8035,46.1871,0.0063,36.0971,52.975,3.616,0.2951,1.0826,54.362,57.683,2.619,8.887,3.505,1.3274,0.8528,48.934,11.629,True,1.0,0.42578,,,,,,,0.38214,0.61786,,,,,,,,0.61786,,,,,,,,0.27933,0.19832,0.13687,0.15084,0.14167,-0.15832,-0.07168,56.949,12800,0.9302,0.8922
A,2026-09-04T22:42:32,step-6400,6400,2,0.50062,0.41406,0.41406,0.41406,1.0,0.6107,0.6107,0.6107,1.25217,0.79861,23.3439,21.2763,0.2698,0.8468,45.7367,0.0059,35.3845,53.824,3.853,0.0985,1.0999,54.776,58.158,1.769,8.052,3.28,1.3404,0.8528,48.934,11.629,True,1.0,0.41406,,,,,,,0.38929,0.61071,,,,,,,,0.61071,,,,,,,,0.28212,0.18994,0.13966,0.17039,0.11667,-0.17865,-0.07997,56.949,12800,0.9451,0.8922
A,2026-09-04T22:42:32,step-8000,8000,2,0.49007,0.45703,0.45703,0.45703,1.0,0.5866,0.5866,0.5866,1.23924,0.80694,23.3581,21.2853,0.2703,0.8443,45.758,0.0058,35.2319,52.167,3.235,0.1056,1.0661,54.275,57.59,4.041,10.394,2.502,1.3398,0.8528,48.934,11.629,True,1.0,0.45703,,,,,,,0.41343,0.58657,,,,,,,,0.58657,,,,,,,,0.2905,0.20391,0.14246,0.1676,0.13333,-0.17387,-0.11221,56.949,12800,0.916,0.883
A,2026-09-04T22:42:32,step-9600,9600,2,0.48427,0.45312,0.45312,0.45312,1.0,0.6237,0.6237,0.6237,1.25654,0.79583,23.3781,21.2709,0.2664,0.85,45.7654,0.0058,35.3685,53.873,3.15,0.1209,1.1009,55.005,58.413,2.101,8.428,3.354,1.3396,0.8528,48.934,11.629,True,1.0,0.45312,,,,,,,0.37634,0.62366,,,,,,,,0.62366,,,,,,,,0.31285,0.18715,0.13687,0.16201,0.15833,-0.18936,-0.07672,56.949,12800,0.946,0.8953
A,2026-09-04T22:42:32,step-11200,11200,2,0.49309,0.44922,0.44922,0.44922,1.0,0.5957,0.5957,0.5957,1.24352,0.80417,23.3393,21.2769,0.2678,0.8467,45.7307,0.0056,35.3468,53.834,3.275,0.1209,1.1001,54.484,57.832,1.207,7.427,2.246,1.3406,0.8528,48.934,11.629,True,1.0,0.44922,,,,,,,0.40426,0.59574,,,,,,,,0.59574,,,,,,,,0.27933,0.17318,0.13687,0.16201,0.15556,-0.15244,-0.1007,56.949,12800,0.9453,0.886
A,2026-09-04T22:42:32,step-12800,12800,2,0.47944,0.46875,0.46875,0.46875,1.0,0.6201,0.6201,0.6201,1.25654,0.79583,23.3755,21.2947,0.2715,0.8477,45.7894,0.006,35.5679,53.803,3.327,0.0895,1.0995,54.893,58.299,2.025,8.357,3.592,1.3389,0.8528,48.934,11.629,True,1.0,0.46875,,,,,,,0.37993,0.62007,,,,,,,,0.62007,,,,,,,,0.2905,0.18156,0.14804,0.15084,0.13889,-0.19291,-0.08416,56.949,12800,0.9448,0.8953
A,2026-09-04T22:42:32,step-3200,3200,4,0.97454,0.30469,0.72656,0.06641,1.0,0.3122,0.9365,0.0754,1.38728,0.72083,24.413,23.8065,0.2782,0.812,49.3097,0.0063,37.5923,54.845,5.669,0.2312,1.1208,56.899,60.549,3.744,10.401,4.82,2.0722,0.8528,48.934,11.039,True,1.0,0.47656,0.26562,0.17188,,,,,0.38889,0.36111,0.1746,0.0754,,,,,,0.61111,0.25,0.0754,,,,,,0.26816,0.17318,0.14525,0.13966,0.12222,-0.16701,-0.08082,56.949,12800,0.9631,0.9884
A,2026-09-04T22:42:32,step-4800,4800,4,0.97753,0.29948,0.69922,0.06641,1.0,0.3266,0.9798,0.0887,1.409,0.70972,24.2624,23.8947,0.2804,0.8076,49.2451,0.0064,36.8499,55.371,5.715,0.1961,1.1315,57.824,61.519,4.431,11.104,5.475,2.0749,0.8528,48.934,11.629,True,1.0,0.46875,0.24219,0.1875,,,,,0.37097,0.36694,0.17339,0.08871,,,,,,0.62903,0.2621,0.08871,,,,,,0.27933,0.19832,0.13687,0.15084,0.14167,-0.15832,-0.07168,56.949,12800,0.9723,1.0039
A,2026-09-04T22:42:32,step-6400,6400,4,0.97343,0.30078,0.73438,0.06641,1.0,0.3083,0.9249,0.0593,1.38196,0.72361,24.1967,23.7312,0.2991,0.874,49.101,0.0061,35.6287,55.524,4.875,0.0992,1.1347,57.047,60.649,2.743,9.23,3.709,2.081,0.8528,48.934,11.629,True,1.0,0.47656,0.26562,0.16016,,,,,0.38735,0.35968,0.19368,0.05929,,,,,,0.61265,0.25296,0.05929,,,,,,0.28212,0.18994,0.13966,0.17039,0.11667,-0.17865,-0.07997,56.949,12800,0.975,0.9846
A,2026-09-04T22:42:32,step-8000,8000,4,0.95965,0.31901,0.77734,0.07422,1.0,0.3083,0.9249,0.0711,1.38196,0.72361,24.1688,23.7234,0.2947,0.8648,49.0517,0.0061,36.2587,55.564,4.671,0.1242,1.1355,57.059,60.699,2.691,9.243,3.492,2.0831,0.8528,48.934,11.629,True,1.0,0.5,0.28516,0.17188,,,,,0.3834,0.37945,0.16601,0.07115,,,,,,0.6166,0.23715,0.07115,,,,,,0.2905,0.20391,0.14246,0.1676,0.13333,-0.17387,-0.11221,56.949,12800,0.9757,0.9846
A,2026-09-04T22:42:32,step-9600,9600,4,0.96516,0.3112,0.74609,0.07031,1.0,0.3293,0.9879,0.0847,1.409,0.70972,24.2199,23.7557,0.2949,0.8579,49.1285,0.0061,36.2997,56.831,5.198,0.1362,1.1614,58.144,61.899,2.311,8.918,0.033,2.0798,0.8528,48.934,11.629,True,1.0,0.49219,0.24609,0.19531,,,,,0.3629,0.37097,0.18145,0.08468,,,,,,0.6371,0.26613,0.08468,,,,,,0.31285,0.18715,0.13687,0.16201,0.15833,-0.18936,-0.07672,56.949,12800,0.9979,1.0039
A,2026-09-04T22:42:32,step-11200,11200,4,0.96504,0.30599,0.73047,0.0625,1.0,0.336,1.008,0.0924,1.40351,0.7125,24.2227,23.7728,0.2957,0.858,49.1492,0.006,36.6549,56.798,4.323,0.1573,1.1607,58.469,62.29,2.944,9.669,0.704,2.0789,0.8528,48.934,11.629,True,1.0,0.48047,0.26172,0.17578,,,,,0.35341,0.37751,0.17671,0.09237,,,,,,0.64659,0.26908,0.09237,,,,,,0.27933,0.17318,0.13687,0.16201,0.15556,-0.15244,-0.1007,56.949,12800,0.9973,1.0
A,2026-09-04T22:42:32,step-12800,12800,4,0.96742,0.3125,0.74219,0.06641,1.0,0.3226,0.9679,0.0723,1.40351,0.7125,24.2438,23.7608,0.2991,0.8724,49.1761,0.0064,36.5811,56.949,5.517,0.1708,1.1638,57.698,61.442,1.316,7.89,-0.624,2.0778,0.8528,48.934,11.629,True,1.0,0.48047,0.26953,0.1875,,,,,0.37349,0.35743,0.19679,0.07229,,,,,,0.62651,0.26908,0.07229,,,,,,0.2905,0.18156,0.14804,0.15084,0.13889,-0.19291,-0.08416,56.949,12800,1.0,1.0
A,2026-09-04T22:42:32,step-3200,3200,8,1.34097,0.16964,0.62891,0.0,1.0,0.1429,1.0,0.0,1.42012,0.70417,26.3321,27.7972,0.2843,0.8682,55.2819,0.0073,40.8689,52.051,6.118,0.1687,1.0637,51.871,55.133,-0.346,5.922,0.597,3.327,0.8681,48.934,11.039,True,1.0,0.44141,0.24609,0.13281,0.11719,0.11328,0.09766,0.03906,0.37805,0.36585,0.17073,0.05691,0.02033,0.00813,0.0,0.0,,0.62195,0.2561,0.08537,0.02846,0.00813,0.0,0.0,,0.26816,0.17318,0.14525,0.13966,0.12222,-0.16701,-0.08082,56.949,12800,0.914,1.0118
A,2026-09-04T22:42:32,step-4800,4800,8,1.33357,0.18136,0.69141,0.0,1.0,0.1554,1.0875,0.0,1.45455,0.6875,25.9343,27.4235,0.2817,0.8553,54.4948,0.0069,40.0898,53.146,5.776,0.1636,1.0861,54.097,57.56,1.79,8.307,2.62,3.375,0.8208,48.934,11.629,True,1.0,0.46875,0.24609,0.16797,0.125,0.10547,0.09375,0.0625,0.375,0.29583,0.24583,0.04167,0.03333,0.00833,0.0,0.0,,0.625,0.32917,0.08333,0.04167,0.00833,0.0,0.0,,0.27933,0.19832,0.13687,0.15084,0.14167,-0.15832,-0.07168,56.949,12800,0.9332,1.0364
A,2026-09-04T22:42:32,step-6400,6400,8,1.32965,0.17969,0.71484,0.0,1.0,0.1388,0.9719,0.0,1.40351,0.7125,25.9245,27.1604,0.2993,0.9065,54.2907,0.0067,38.9749,51.54,6.648,0.1292,1.0532,52.411,55.67,1.69,8.014,-0.271,3.3877,0.8597,48.934,11.629,True,1.0,0.45703,0.26562,0.16797,0.14062,0.08984,0.09375,0.04297,0.40161,0.32129,0.21687,0.03213,0.02008,0.00803,0.0,0.0,,0.59839,0.27711,0.06024,0.02811,0.00803,0.0,0.0,,0.28212,0.18994,0.13966,0.17039,0.11667,-0.17865,-0.07997,56.949,12800,0.905,1.0
A,2026-09-04T22:42:32,step-8000,8000,8,1.32716,0.1875,0.76953,0.0,1.0,0.1411,0.9879,0.0,1.409,0.70972,25.9677,27.2239,0.2992,0.906,54.3968,0.0069,39.0923,51.273,5.198,0.1328,1.0478,52.576,55.858,2.54,8.942,-0.179,3.3811,0.8597,48.934,11.629,True,1.0,0.47266,0.27344,0.19141,0.125,0.10938,0.08594,0.05469,0.39113,0.33065,0.20968,0.04435,0.01613,0.00806,0.0,0.0,,0.60887,0.27823,0.06855,0.02419,0.00806,0.0,0.0,,0.2905,0.20391,0.14246,0.1676,0.13333,-0.17387,-0.11221,56.949,12800,0.9003,1.0039
